origen,destino,peso
Nodo_Sureste_Residencial,Nodo_Norte_Residencial,2.1
Nodo_Centro_Industrial,Nodo_Este_Hospitalaria_2,19.7
Nodo_Sureste_Rural_2,Nodo_Noreste_Residencial,8.4
Nodo_Oeste_Comercial,Nodo_Centro_Universitaria_2,2.0
Nodo_Suroeste_Universitaria,Nodo_Sureste_Rural,27.2
Nodo_Norte_Residencial,Nodo_Norte_Hospitalaria_2,29.9
Nodo_Periferia_Residencial_2,Nodo_Noreste_Rural,23.8
Nodo_Norte_Rural,Nodo_Norte_Residencial,18.9
Nodo_Oeste_Comercial,Nodo_Sur_Universitaria,1.7
Nodo_Periferia_Hospitalaria_2,Nodo_Noroeste_Comercial_2,17.6
Nodo_Norte_Rural_2,Nodo_Norte_Hospitalaria,18.1
Nodo_Periferia_Residencial_2,Nodo_Noreste_Rural_2,4.1
Nodo_Periferia_Rural,Nodo_Oeste_Universitaria,17.3
Nodo_Suroeste_Comercial_2,Nodo_Este_Rural_2,20.4
Nodo_Noreste_Hospitalaria,Nodo_Este_Hospitalaria,21.3
Nodo_Suroeste_Industrial_2,Nodo_Oeste_Universitaria_2,26.6
Nodo_Sureste_Residencial,Nodo_Oeste_Universitaria,9.0
Nodo_Oeste_Industrial,Nodo_Noreste_Rural_2,4.0
Nodo_Oeste_Comercial_2,Nodo_Noreste_Residencial,23.6
Nodo_Noreste_Residencial,Nodo_Oeste_Universitaria_2,9.5
Nodo_Oeste_Industrial,Nodo_Oeste_Universitaria_2,11.3
Nodo_Noroeste_Comercial_2,Nodo_Sur_Universitaria,22.9
Nodo_Noroeste_Universitaria_2,Nodo_Norte_Residencial,24.1
Nodo_Sureste_Residencial,Nodo_Norte_Residencial_2,18.1
Nodo_Noroeste_Universitaria,Nodo_Noroeste_Comercial_2,1.2
Nodo_Oeste_Industrial_2,Nodo_Sureste_Rural_2,25.0
Nodo_Noreste_Rural,Nodo_Periferia_Hospitalaria_2,29.2
Nodo_Periferia_Hospitalaria,Nodo_Sur_Universitaria,4.4
Nodo_Sur_Universitaria,Nodo_Oeste_Industrial,27.9
Nodo_Periferia_Hospitalaria,Nodo_Noroeste_Comercial_2,24.7
Nodo_Oeste_Industrial,Nodo_Norte_Rural_2,4.4
Nodo_Noreste_Hospitalaria,Nodo_Noroeste_Universitaria_2,26.2
Nodo_Oeste_Universitaria,Nodo_Suroeste_Comercial_2,3.7
Nodo_Este_Residencial_2,Nodo_Suroeste_Industrial_2,19.0
Nodo_Noreste_Residencial,Nodo_Norte_Hospitalaria,23.1
Nodo_Este_Rural_2,Nodo_Centro_Universitaria,15.5
Nodo_Sureste_Residencial,Nodo_Noreste_Hospitalaria_2,5.5
Nodo_Suroeste_Comercial,Nodo_Norte_Hospitalaria_2,24.0
Nodo_Oeste_Universitaria_2,Nodo_Suroeste_Comercial_2,7.7
Nodo_Este_Rural,Nodo_Sureste_Residencial_2,29.4
Nodo_Oeste_Industrial,Nodo_Noreste_Rural,4.6
Nodo_Noroeste_Comercial,Nodo_Sur_Universitaria_2,8.5
Nodo_Sureste_Residencial_2,Nodo_Periferia_Hospitalaria_2,11.6
Nodo_Sur_Industrial,Nodo_Noroeste_Comercial,7.7
Nodo_Periferia_Residencial_2,Nodo_Noroeste_Industrial,2.4
