incident_id,tipo,ubicacion,severidad,timestamp,estado
INC-0033,Inundacion,Nodo_Sur_Comercial,4,1783410196.04,reportado
INC-0034,Derrumbe,Nodo_Suroeste_Universitaria,9,1783398840.1,reportado
INC-0035,Rescate,Nodo_Suroeste_Industrial,2,1783416782.07,en_atencion
INC-0036,Explosion,Nodo_Sureste_Rural,7,1783381747.37,reportado
INC-0037,Accidente_Vial,Nodo_Periferia_Residencial,2,1783416620.45,reportado
INC-0038,Incendio,Nodo_Noreste_Rural,5,1783426383.99,reportado
INC-0039,Robo,Nodo_Sur_Comercial,6,1783386644.89,en_atencion
INC-0040,Emergencia_Medica,Nodo_Este_Residencial,1,1783389863.09,reportado
INC-0041,Inundacion,Nodo_Noreste_Hospitalaria,4,1783396113.89,reportado
INC-0042,Derrumbe,Nodo_Noreste_Residencial,7,1783405702.84,reportado
INC-0043,Rescate,Nodo_Sur_Universitaria_2,8,1783423102.18,en_atencion
INC-0044,Explosion,Nodo_Noroeste_Comercial,3,1783383044.9,reportado
INC-0045,Accidente_Vial,Nodo_Noreste_Residencial,6,1783432073.47,reportado
INC-0046,Incendio,Nodo_Periferia_Hospitalaria,7,1783380133.51,reportado
INC-0047,Robo,Nodo_Noreste_Residencial,10,1783431006.78,en_atencion
INC-0048,Emergencia_Medica,Nodo_Periferia_Hospitalaria,5,1783445176.27,reportado
INC-0049,Inundacion,Nodo_Centro_Industrial,4,1783456301.74,reportado
INC-0050,Derrumbe,Nodo_Sureste_Hospitalaria,3,1783444747.56,reportado
INC-0051,Rescate,Nodo_Este_Residencial_2,6,1783454866.31,en_atencion
INC-0052,Explosion,Nodo_Este_Rural_2,9,1783382261.84,reportado
INC-0053,Accidente_Vial,Nodo_Periferia_Residencial_2,8,1783379993.67,reportado
INC-0054,Incendio,Nodo_Noreste_Hospitalaria,7,1783389334.3,reportado
INC-0055,Robo,Nodo_Norte_Rural_2,4,1783427062.93,en_atencion
INC-0056,Emergencia_Medica,Nodo_Norte_Hospitalaria_2,9,1783401661.97,reportado
INC-0057,Inundacion,Nodo_Este_Hospitalaria_2,8,1783395751.65,reportado
INC-0058,Derrumbe,Nodo_Sur_Industrial,7,1783386199.4,reportado
INC-0059,Rescate,Nodo_Oeste_Comercial,2,1783402326.15,en_atencion
INC-0060,Explosion,Nodo_Centro_Industrial_2,1,1783443267.94,reportado
INC-0061,Accidente_Vial,Nodo_Este_Rural_2,2,1783412478.69,reportado
INC-0062,Incendio,Nodo_Noreste_Rural_2,7,1783437229.17,reportado
INC-0063,Robo,Nodo_Noreste_Rural,6,1783402308.87,en_atencion
INC-0064,Emergencia_Medica,Nodo_Periferia_Hospitalaria_2,5,1783402267.77,reportado
INC-0065,Inundacion,Nodo_Sureste_Residencial_2,6,1783414599.65,reportado
INC-0066,Derrumbe,Nodo_Este_Residencial,1,1783420270.43,reportado
INC-0067,Rescate,Nodo_Oeste_Universitaria_2,2,1783441316.4,en_atencion
INC-0068,Explosion,Nodo_Periferia_Rural,1,1783437552.65,reportado
INC-0069,Accidente_Vial,Nodo_Sur_Universitaria,2,1783405060.73,reportado
INC-0070,Incendio,Nodo_Centro_Industrial,3,1783393276.0,reportado
INC-0071,Robo,Nodo_Centro_Industrial_2,4,1783418638.78,en_atencion
INC-0072,Emergencia_Medica,Nodo_Noreste_Hospitalaria,7,1783451814.06,reportado
INC-0073,Inundacion,Nodo_Noroeste_Comercial,8,1783384356.95,reportado
INC-0074,Derrumbe,Nodo_Oeste_Comercial,9,1783447465.88,reportado
INC-0075,Rescate,Nodo_Noreste_Hospitalaria,10,1783405336.03,en_atencion
INC-0076,Explosion,Nodo_Norte_Rural,3,1783399781.4,reportado
INC-0077,Accidente_Vial,Nodo_Norte_Hospitalaria,2,1783450637.83,reportado
INC-0078,Incendio,Nodo_Suroeste_Industrial,7,1783415953.95,reportado
INC-0079,Robo,Nodo_Oeste_Industrial,4,1783449326.7,en_atencion
INC-0080,Emergencia_Medica,Nodo_Centro_Comercial,3,1783381050.37,reportado
INC-0081,Inundacion,Nodo_Periferia_Residencial_2,10,1783393141.2,reportado
INC-0082,Derrumbe,Nodo_Suroeste_Comercial,7,1783413890.39,reportado
INC-0083,Rescate,Nodo_Noroeste_Comercial,4,1783383429.48,en_atencion
INC-0084,Explosion,Nodo_Centro_Comercial_2,9,1783402751.86,reportado
INC-0085,Accidente_Vial,Nodo_Noroeste_Universitaria,4,1783462405.08,reportado
INC-0086,Incendio,Nodo_Periferia_Residencial_2,3,1783399769.7,reportado
INC-0087,Robo,Nodo_Noroeste_Universitaria_2,8,1783445007.84,en_atencion
INC-0088,Emergencia_Medica,Nodo_Centro_Industrial_2,1,1783453311.57,reportado
INC-0089,Inundacion,Nodo_Noroeste_Industrial,8,1783399907.76,reportado
INC-0090,Derrumbe,Nodo_Oeste_Industrial,3,1783381954.28,reportado
INC-0091,Rescate,Nodo_Periferia_Residencial,2,1783383867.98,en_atencion
INC-0092,Explosion,Nodo_Sur_Industrial,5,1783383750.17,reportado
INC-0093,Accidente_Vial,Nodo_Sureste_Residencial,8,1783440985.91,reportado
INC-0094,Incendio,Nodo_Centro_Universitaria_2,9,1783453663.75,reportado
INC-0095,Robo,Nodo_Noroeste_Universitaria_2,6,1783415859.75,en_atencion
INC-0096,Emergencia_Medica,Nodo_Sur_Universitaria_2,7,1783453774.14,reportado
INC-0097,Inundacion,Nodo_Oeste_Industrial,6,1783380080.92,reportado
INC-0098,Derrumbe,Nodo_Norte_Rural,7,1783422879.77,reportado
INC-0099,Rescate,Nodo_Centro_Industrial,4,1783446030.77,en_atencion
INC-0100,Explosion,Nodo_Periferia_Rural,7,1783440707.19,reportado
INC-0101,Accidente_Vial,Nodo_Centro_Comercial_2,8,1783455363.3,reportado
INC-0102,Incendio,Nodo_Centro_Industrial,5,1783423616.61,reportado
INC-0103,Robo,Nodo_Sur_Industrial_2,4,1783443583.64,en_atencion
INC-0104,Emergencia_Medica,Nodo_Sur_Universitaria_2,1,1783458112.38,reportado
INC-0105,Inundacion,Nodo_Norte_Rural,6,1783444185.19,reportado
INC-0106,Derrumbe,Nodo_Suroeste_Comercial_2,1,1783417407.24,reportado
INC-0107,Rescate,Nodo_Centro_Comercial,10,1783422886.33,en_atencion
INC-0108,Explosion,Nodo_Noreste_Hospitalaria_2,9,1783388554.77,reportado
INC-0109,Accidente_Vial,Nodo_Sureste_Residencial,6,1783424011.06,reportado
INC-0110,Incendio,Nodo_Suroeste_Universitaria,1,1783446655.11,reportado
INC-0111,Robo,Nodo_Suroeste_Comercial,4,1783450385.6,en_atencion
INC-0112,Emergencia_Medica,Nodo_Periferia_Hospitalaria_2,7,1783429354.74,reportado
INC-0113,Inundacion,Nodo_Centro_Industrial_2,2,1783411076.49,reportado
INC-0114,Derrumbe,Nodo_Noroeste_Industrial,1,1783455901.5,reportado
INC-0115,Rescate,Nodo_Oeste_Industrial_2,6,1783384473.65,en_atencion
INC-0116,Explosion,Nodo_Periferia_Hospitalaria_2,9,1783390181.96,reportado
INC-0117,Accidente_Vial,Nodo_Este_Hospitalaria_2,8,1783387425.07,reportado
INC-0118,Incendio,Nodo_Norte_Residencial,5,1783462658.58,reportado
INC-0119,Robo,Nodo_Noroeste_Industrial,8,1783416157.84,en_atencion
INC-0120,Emergencia_Medica,Nodo_Noreste_Rural_2,7,1783457339.97,reportado
INC-0121,Inundacion,Nodo_Noroeste_Universitaria_2,10,1783390973.46,reportado
INC-0122,Derrumbe,Nodo_Suroeste_Industrial,9,1783455458.01,reportado
INC-0123,Rescate,Nodo_Oeste_Industrial_2,2,1783432783.5,en_atencion
INC-0124,Explosion,Nodo_Oeste_Comercial,3,1783415591.33,reportado
INC-0125,Accidente_Vial,Nodo_Periferia_Hospitalaria_2,4,1783408054.54,reportado
INC-0126,Incendio,Nodo_Noreste_Rural,5,1783411965.19,reportado
INC-0127,Robo,Nodo_Noroeste_Industrial,4,1783439059.96,en_atencion
INC-0128,Emergencia_Medica,Nodo_Suroeste_Comercial,7,1783431173.47,reportado
INC-0129,Inundacion,Nodo_Suroeste_Comercial,6,1783391088.69,reportado
INC-0130,Derrumbe,Nodo_Noroeste_Comercial,5,1783462809.15,reportado
INC-0131,Rescate,Nodo_Suroeste_Comercial,4,1783446439.62,en_atencion
INC-0132,Explosion,Nodo_Noroeste_Universitaria_2,5,1783430055.13,reportado
INC-0133,Accidente_Vial,Nodo_Noroeste_Universitaria,8,1783443233.23,reportado
INC-0134,Incendio,Nodo_Centro_Universitaria_2,3,1783427578.09,reportado
INC-0135,Robo,Nodo_Centro_Comercial_2,2,1783380300.19,en_atencion
INC-0136,Emergencia_Medica,Nodo_Sureste_Rural,3,1783440683.45,reportado
INC-0137,Inundacion,Nodo_Sureste_Hospitalaria,6,1783412659.94,reportado
INC-0138,Derrumbe,Nodo_Este_Residencial_2,3,1783433430.46,reportado
INC-0139,Rescate,Nodo_Norte_Residencial,10,1783446380.04,en_atencion
INC-0140,Explosion,Nodo_Noreste_Rural,1,1783447271.63,reportado
INC-0141,Accidente_Vial,Nodo_Sureste_Hospitalaria,6,1783450310.73,reportado
INC-0142,Incendio,Nodo_Sur_Comercial_2,5,1783417171.76,reportado
INC-0143,Robo,Nodo_Noreste_Hospitalaria_2,10,1783389116.66,en_atencion
INC-0144,Emergencia_Medica,Nodo_Noreste_Rural_2,1,1783438077.26,reportado
INC-0145,Inundacion,Nodo_Oeste_Industrial,8,1783434581.44,reportado
INC-0146,Derrumbe,Nodo_Sureste_Rural_2,5,1783437246.9,reportado
INC-0147,Rescate,Nodo_Noroeste_Industrial,4,1783459338.29,en_atencion
INC-0148,Explosion,Nodo_Norte_Residencial_2,1,1783447521.28,reportado
INC-0149,Accidente_Vial,Nodo_Sur_Comercial,10,1783464783.71,reportado
INC-0150,Incendio,Nodo_Periferia_Hospitalaria,1,1783417298.22,reportado
INC-0151,Robo,Nodo_Centro_Industrial,10,1783407158.62,en_atencion
INC-0152,Emergencia_Medica,Nodo_Norte_Hospitalaria_2,3,1783455797.56,reportado
INC-0153,Inundacion,Nodo_Centro_Universitaria_2,4,1783456435.09,reportado
INC-0154,Derrumbe,Nodo_Oeste_Universitaria_2,5,1783426939.1,reportado
INC-0155,Rescate,Nodo_Sur_Universitaria,8,1783397524.65,en_atencion
INC-0156,Explosion,Nodo_Norte_Residencial,1,1783420023.05,reportado
INC-0157,Accidente_Vial,Nodo_Centro_Industrial_2,4,1783392227.15,reportado
INC-0158,Incendio,Nodo_Sureste_Rural,5,1783423793.25,reportado
INC-0159,Robo,Nodo_Periferia_Rural,2,1783380267.68,en_atencion
INC-0160,Emergencia_Medica,Nodo_Periferia_Rural,5,1783430178.65,reportado
INC-0161,Inundacion,Nodo_Centro_Comercial_2,10,1783428121.77,reportado
INC-0162,Derrumbe,Nodo_Norte_Hospitalaria_2,5,1783432849.58,reportado
INC-0163,Rescate,Nodo_Oeste_Comercial_2,8,1783386507.41,en_atencion
INC-0164,Explosion,Nodo_Oeste_Universitaria,5,1783443090.62,reportado
INC-0165,Accidente_Vial,Nodo_Periferia_Hospitalaria,8,1783464425.6,reportado
INC-0166,Incendio,Nodo_Sureste_Residencial,1,1783389582.69,reportado
INC-0167,Robo,Nodo_Noreste_Rural,8,1783400059.13,en_atencion
INC-0168,Emergencia_Medica,Nodo_Este_Hospitalaria_2,1,1783408502.66,reportado
INC-0169,Inundacion,Nodo_Oeste_Comercial_2,8,1783411692.53,reportado
INC-0170,Derrumbe,Nodo_Noroeste_Universitaria_2,9,1783406889.05,reportado
INC-0171,Rescate,Nodo_Periferia_Residencial,4,1783418094.12,en_atencion
INC-0172,Explosion,Nodo_Este_Rural,3,1783456488.62,reportado
INC-0173,Accidente_Vial,Nodo_Noroeste_Industrial,10,1783458904.43,reportado
INC-0174,Incendio,Nodo_Sur_Comercial,3,1783389888.68,reportado
INC-0175,Robo,Nodo_Oeste_Comercial_2,6,1783429703.1,en_atencion
INC-0176,Emergencia_Medica,Nodo_Centro_Universitaria,3,1783448255.82,reportado
INC-0177,Inundacion,Nodo_Noroeste_Comercial,4,1783456979.87,reportado
INC-0178,Derrumbe,Nodo_Noroeste_Universitaria,5,1783406642.61,reportado
INC-0179,Rescate,Nodo_Sur_Industrial_2,2,1783451412.84,en_atencion
INC-0180,Explosion,Nodo_Centro_Comercial,9,1783417188.96,reportado
INC-0181,Accidente_Vial,Nodo_Oeste_Comercial_2,4,1783446661.08,reportado
INC-0182,Incendio,Nodo_Noroeste_Universitaria,1,1783436435.86,reportado
INC-0183,Robo,Nodo_Norte_Rural,6,1783391505.88,en_atencion
INC-0184,Emergencia_Medica,Nodo_Centro_Universitaria_2,3,1783381384.73,reportado
INC-0185,Inundacion,Nodo_Sur_Universitaria,8,1783450228.98,reportado
INC-0186,Derrumbe,Nodo_Este_Residencial,7,1783428476.06,reportado
INC-0187,Rescate,Nodo_Sur_Universitaria,8,1783443793.39,en_atencion
INC-0188,Explosion,Nodo_Sureste_Hospitalaria,5,1783406526.98,reportado
INC-0189,Accidente_Vial,Nodo_Sur_Comercial_2,2,1783389696.32,reportado
INC-0190,Incendio,Nodo_Oeste_Universitaria,9,1783459057.71,reportado
INC-0191,Robo,Nodo_Centro_Industrial_2,2,1783443491.14,en_atencion
INC-0192,Emergencia_Medica,Nodo_Oeste_Industrial_2,1,1783393952.57,reportado
INC-0193,Inundacion,Nodo_Sureste_Rural_2,10,1783454129.01,reportado
INC-0194,Derrumbe,Nodo_Oeste_Comercial_2,5,1783408042.07,reportado
INC-0195,Rescate,Nodo_Sur_Industrial_2,8,1783397848.59,en_atencion
INC-0196,Explosion,Nodo_Noroeste_Industrial,1,1783429557.78,reportado
INC-0197,Accidente_Vial,Nodo_Oeste_Universitaria,10,1783402745.48,reportado
INC-0198,Incendio,Nodo_Este_Hospitalaria,5,1783454702.7,reportado
INC-0199,Robo,Nodo_Centro_Comercial_2,8,1783408181.16,en_atencion
INC-0200,Emergencia_Medica,Nodo_Periferia_Residencial,3,1783433995.39,reportado
INC-0201,Inundacion,Nodo_Sureste_Rural,4,1783416044.29,reportado
INC-0202,Derrumbe,Nodo_Oeste_Universitaria_2,3,1783388186.51,reportado
INC-0203,Rescate,Nodo_Sureste_Residencial,6,1783424755.52,en_atencion
INC-0204,Explosion,Nodo_Este_Hospitalaria,7,1783425012.4,reportado
INC-0205,Accidente_Vial,Nodo_Noreste_Hospitalaria,8,1783383209.72,reportado
INC-0206,Incendio,Nodo_Este_Residencial,5,1783458240.62,reportado
INC-0207,Robo,Nodo_Oeste_Comercial_2,8,1783427178.12,en_atencion
INC-0208,Emergencia_Medica,Nodo_Noroeste_Comercial,7,1783434778.32,reportado
INC-0209,Inundacion,Nodo_Centro_Comercial,6,1783454045.61,reportado
INC-0210,Derrumbe,Nodo_Suroeste_Comercial,7,1783422254.65,reportado
INC-0211,Rescate,Nodo_Centro_Comercial,8,1783391736.77,en_atencion
INC-0212,Explosion,Nodo_Sureste_Rural,5,1783399454.14,reportado
INC-0213,Accidente_Vial,Nodo_Suroeste_Industrial_2,10,1783391687.25,reportado
INC-0214,Incendio,Nodo_Este_Residencial,1,1783421468.79,reportado
INC-0215,Robo,Nodo_Sureste_Residencial,6,1783422345.34,en_atencion
INC-0216,Emergencia_Medica,Nodo_Oeste_Industrial_2,9,1783403051.87,reportado
INC-0217,Inundacion,Nodo_Sur_Industrial_2,6,1783424741.44,reportado
INC-0218,Derrumbe,Nodo_Centro_Comercial,7,1783385597.41,reportado
INC-0219,Rescate,Nodo_Sureste_Residencial,2,1783449741.68,en_atencion
INC-0220,Explosion,Nodo_Sur_Universitaria_2,9,1783426434.76,reportado
INC-0221,Accidente_Vial,Nodo_Norte_Hospitalaria_2,10,1783400704.63,reportado
INC-0222,Incendio,Nodo_Este_Residencial,5,1783432318.32,reportado
INC-0223,Robo,Nodo_Periferia_Hospitalaria,10,1783437188.52,en_atencion
INC-0224,Emergencia_Medica,Nodo_Noreste_Hospitalaria_2,7,1783458708.13,reportado
INC-0225,Inundacion,Nodo_Oeste_Universitaria,8,1783414509.22,reportado
INC-0226,Derrumbe,Nodo_Suroeste_Comercial,3,1783386477.65,reportado
INC-0227,Rescate,Nodo_Noreste_Hospitalaria,8,1783454127.62,en_atencion
INC-0228,Explosion,Nodo_Centro_Industrial,1,1783424250.76,reportado
INC-0229,Accidente_Vial,Nodo_Periferia_Residencial_2,6,1783448447.97,reportado
INC-0230,Incendio,Nodo_Noreste_Residencial,7,1783410260.36,reportado
INC-0231,Robo,Nodo_Suroeste_Industrial_2,4,1783389636.97,en_atencion
INC-0232,Emergencia_Medica,Nodo_Centro_Universitaria_2,3,1783393837.04,reportado
INC-0233,Inundacion,Nodo_Sur_Industrial_2,8,1783426126.55,reportado
INC-0234,Derrumbe,Nodo_Centro_Industrial,3,1783393976.38,reportado
INC-0235,Rescate,Nodo_Sur_Comercial,4,1783438341.19,en_atencion
INC-0236,Explosion,Nodo_Noreste_Rural_2,7,1783403499.59,reportado
INC-0237,Accidente_Vial,Nodo_Noroeste_Universitaria,10,1783419894.19,reportado
INC-0238,Incendio,Nodo_Norte_Hospitalaria_2,3,1783401112.35,reportado
INC-0239,Robo,Nodo_Suroeste_Industrial,8,1783445824.92,en_atencion
INC-0240,Emergencia_Medica,Nodo_Este_Residencial,1,1783392782.65,reportado
INC-0241,Inundacion,Nodo_Norte_Rural_2,2,1783384002.49,reportado
INC-0242,Derrumbe,Nodo_Noreste_Hospitalaria_2,9,1783465299.02,reportado
INC-0243,Rescate,Nodo_Oeste_Comercial,8,1783412599.51,en_atencion
INC-0244,Explosion,Nodo_Norte_Residencial_2,7,1783406835.96,reportado
INC-0245,Accidente_Vial,Nodo_Periferia_Rural,2,1783405742.31,reportado
INC-0246,Incendio,Nodo_Noroeste_Universitaria,5,1783434444.26,reportado
INC-0247,Robo,Nodo_Norte_Hospitalaria,8,1783459672.7,en_atencion
INC-0248,Emergencia_Medica,Nodo_Noreste_Rural,7,1783407599.37,reportado
INC-0249,Inundacion,Nodo_Este_Hospitalaria,8,1783458008.82,reportado
INC-0250,Derrumbe,Nodo_Suroeste_Universitaria,5,1783449281.67,reportado
INC-0251,Rescate,Nodo_Noreste_Rural,6,1783437971.46,en_atencion
INC-0252,Explosion,Nodo_Oeste_Industrial_2,3,1783400128.03,reportado
INC-0253,Accidente_Vial,Nodo_Centro_Universitaria_2,8,1783429544.66,reportado
INC-0254,Incendio,Nodo_Periferia_Residencial,7,1783461984.86,reportado
INC-0255,Robo,Nodo_Periferia_Hospitalaria,4,1783465468.03,en_atencion
INC-0256,Emergencia_Medica,Nodo_Oeste_Industrial,7,1783435308.2,reportado
INC-0257,Inundacion,Nodo_Sureste_Rural,8,1783409911.23,reportado
INC-0258,Derrumbe,Nodo_Sureste_Rural_2,3,1783462097.33,reportado
INC-0259,Rescate,Nodo_Suroeste_Industrial,2,1783457458.94,en_atencion
INC-0260,Explosion,Nodo_Noreste_Rural_2,1,1783460613.7,reportado
INC-0261,Accidente_Vial,Nodo_Noreste_Residencial,10,1783407038.12,reportado
INC-0262,Incendio,Nodo_Sureste_Residencial_2,7,1783463427.95,reportado
INC-0263,Robo,Nodo_Suroeste_Comercial_2,8,1783409047.29,en_atencion
INC-0264,Emergencia_Medica,Nodo_Suroeste_Industrial_2,1,1783400952.99,reportado
INC-0265,Inundacion,Nodo_Norte_Residencial,8,1783381600.63,reportado
INC-0266,Derrumbe,Nodo_Norte_Rural_2,9,1783407162.16,reportado
INC-0267,Rescate,Nodo_Sureste_Hospitalaria,6,1783402478.08,en_atencion
INC-0268,Explosion,Nodo_Noroeste_Comercial_2,9,1783398056.85,reportado
INC-0269,Accidente_Vial,Nodo_Este_Hospitalaria_2,2,1783424075.42,reportado
INC-0270,Incendio,Nodo_Oeste_Comercial_2,1,1783460438.64,reportado
INC-0271,Robo,Nodo_Oeste_Universitaria,8,1783413576.7,en_atencion
INC-0272,Emergencia_Medica,Nodo_Norte_Hospitalaria,1,1783424056.7,reportado
INC-0273,Inundacion,Nodo_Suroeste_Universitaria,4,1783446724.35,reportado
INC-0274,Derrumbe,Nodo_Sur_Universitaria,5,1783440041.75,reportado
INC-0275,Rescate,Nodo_Norte_Residencial,2,1783401940.53,en_atencion
INC-0276,Explosion,Nodo_Periferia_Residencial,3,1783450503.56,reportado
INC-0277,Accidente_Vial,Nodo_Periferia_Hospitalaria,2,1783382756.34,reportado
INC-0278,Incendio,Nodo_Noreste_Rural,7,1783438859.54,reportado
INC-0279,Robo,Nodo_Sureste_Residencial,8,1783456733.64,en_atencion
INC-0280,Emergencia_Medica,Nodo_Este_Residencial_2,7,1783431677.63,reportado
INC-0281,Inundacion,Nodo_Este_Residencial,10,1783394517.44,reportado
INC-0282,Derrumbe,Nodo_Sureste_Rural_2,9,1783391157.35,reportado
INC-0283,Rescate,Nodo_Suroeste_Comercial_2,8,1783402734.7,en_atencion
INC-0284,Explosion,Nodo_Oeste_Industrial_2,3,1783462638.43,reportado
INC-0285,Accidente_Vial,Nodo_Noreste_Hospitalaria,6,1783398158.98,reportado
INC-0286,Incendio,Nodo_Sur_Industrial_2,5,1783438317.09,reportado
INC-0287,Robo,Nodo_Periferia_Rural,4,1783409687.88,en_atencion
INC-0288,Emergencia_Medica,Nodo_Oeste_Industrial,9,1783414065.69,reportado
INC-0289,Inundacion,Nodo_Norte_Residencial,6,1783437033.88,reportado
INC-0290,Derrumbe,Nodo_Periferia_Hospitalaria_2,3,1783392692.11,reportado
INC-0291,Rescate,Nodo_Sureste_Residencial,4,1783411207.01,en_atencion
INC-0292,Explosion,Nodo_Oeste_Industrial_2,7,1783397940.75,reportado
INC-0293,Accidente_Vial,Nodo_Suroeste_Universitaria,8,1783390471.03,reportado
INC-0294,Incendio,Nodo_Oeste_Comercial_2,1,1783463627.74,reportado
INC-0295,Robo,Nodo_Sur_Universitaria_2,10,1783437882.8,en_atencion
INC-0296,Emergencia_Medica,Nodo_Sur_Universitaria_2,9,1783458918.64,reportado
INC-0297,Inundacion,Nodo_Noroeste_Industrial,6,1783420577.86,reportado
INC-0298,Derrumbe,Nodo_Noreste_Rural,1,1783463297.37,reportado
INC-0299,Rescate,Nodo_Centro_Comercial,8,1783405243.14,en_atencion
INC-0300,Explosion,Nodo_Noreste_Residencial,1,1783456640.8,reportado
INC-0301,Accidente_Vial,Nodo_Centro_Comercial,4,1783427720.98,reportado
INC-0302,Incendio,Nodo_Noroeste_Universitaria_2,9,1783390804.25,reportado
INC-0303,Robo,Nodo_Noreste_Rural_2,2,1783381216.67,en_atencion
INC-0304,Emergencia_Medica,Nodo_Oeste_Industrial,1,1783391438.35,reportado
INC-0305,Inundacion,Nodo_Noreste_Hospitalaria,10,1783392535.0,reportado
INC-0306,Derrumbe,Nodo_Norte_Residencial,3,1783432998.85,reportado
INC-0307,Rescate,Nodo_Sur_Comercial_2,6,1783435349.27,en_atencion
INC-0308,Explosion,Nodo_Suroeste_Comercial,1,1783453876.09,reportado
INC-0309,Accidente_Vial,Nodo_Este_Residencial,8,1783436709.4,reportado
INC-0310,Incendio,Nodo_Sureste_Rural,7,1783386061.9,reportado
INC-0311,Robo,Nodo_Oeste_Universitaria_2,10,1783446423.89,en_atencion
INC-0312,Emergencia_Medica,Nodo_Sur_Comercial_2,3,1783402587.03,reportado
INC-0313,Inundacion,Nodo_Oeste_Universitaria,6,1783450003.62,reportado
INC-0314,Derrumbe,Nodo_Norte_Rural,7,1783381102.97,reportado
INC-0315,Rescate,Nodo_Este_Residencial,4,1783396333.34,en_atencion
INC-0316,Explosion,Nodo_Sureste_Residencial,7,1783445247.6,reportado
INC-0317,Accidente_Vial,Nodo_Noroeste_Universitaria,8,1783405340.18,reportado
INC-0318,Incendio,Nodo_Noreste_Hospitalaria_2,9,1783455424.77,reportado
INC-0319,Robo,Nodo_Oeste_Universitaria_2,6,1783446856.27,en_atencion
INC-0320,Emergencia_Medica,Nodo_Oeste_Comercial,9,1783419143.48,reportado
INC-0321,Inundacion,Nodo_Este_Rural,8,1783388625.99,reportado
INC-0322,Derrumbe,Nodo_Suroeste_Comercial_2,3,1783463903.03,reportado
INC-0323,Rescate,Nodo_Suroeste_Universitaria,10,1783419986.29,en_atencion
INC-0324,Explosion,Nodo_Sur_Industrial,7,1783439776.04,reportado
INC-0325,Accidente_Vial,Nodo_Sur_Comercial_2,4,1783385151.77,reportado
INC-0326,Incendio,Nodo_Este_Hospitalaria,3,1783420931.98,reportado
INC-0327,Robo,Nodo_Sur_Comercial,8,1783440864.21,en_atencion
INC-0328,Emergencia_Medica,Nodo_Suroeste_Comercial,1,1783461959.38,reportado
INC-0329,Inundacion,Nodo_Norte_Rural_2,6,1783447619.57,reportado
INC-0330,Derrumbe,Nodo_Noreste_Rural_2,9,1783391385.52,reportado
INC-0331,Rescate,Nodo_Suroeste_Universitaria,10,1783419963.34,en_atencion
INC-0332,Explosion,Nodo_Noroeste_Comercial_2,9,1783409858.09,reportado
INC-0333,Accidente_Vial,Nodo_Oeste_Comercial,8,1783380448.45,reportado
